# num used hubs; 3
# num min flow violations; 0
#
# hub; num paths; load mtr; weight; volume; min flow ratio; min load mtr; min weight; min volume
Hub_81; 0; 0,00000000000000e+00; 0,00000000000000e+00; 0,00000000000000e+00; 1,00000000000000e+00; 2,83300000000000e+01; 5,00000000000000e+04; 2,12500000000000e+02
Hub_82; 44; 3,31444262477224e+01; 2,54222974139426e+04; 1,35016714537912e+02; 1,16994091943955e+00; 2,83300000000000e+01; 5,00000000000000e+04; 2,12500000000000e+02
Hub_83; 263; 1,37427927263989e+02; 1,19576942558167e+05; 7,20575590990516e+02; 4,85096813498019e+00; 2,83300000000000e+01; 5,00000000000000e+04; 2,12500000000000e+02
Hub_84; 0; 0,00000000000000e+00; 0,00000000000000e+00; 0,00000000000000e+00; 1,00000000000000e+00; 2,83300000000000e+01; 5,00000000000000e+04; 2,12500000000000e+02
Hub_85; 373; 4,23901649448286e+02; 3,54702332964147e+05; 2,40875468862709e+03; 1,49629950387676e+01; 2,83300000000000e+01; 5,00000000000000e+04; 2,12500000000000e+02
