# num used hubs; 3
# num min flow violations; 0
#
# hub; num paths; load mtr; weight; volume; min flow ratio; min load mtr; min weight; min volume
Hub_81; 0; 0,00000000000000e+00; 0,00000000000000e+00; 0,00000000000000e+00; 1,00000000000000e+00; 2,83300000000000e+01; 5,00000000000000e+04; 2,12500000000000e+02
Hub_82; 50; 3,41735930548653e+01; 2,61847119610812e+04; 1,37234389603627e+02; 1,20626872766909e+00; 2,83300000000000e+01; 5,00000000000000e+04; 2,12500000000000e+02
Hub_83; 264; 1,36541084278178e+02; 1,18617492139568e+05; 7,17894144436159e+02; 4,81966411147823e+00; 2,83300000000000e+01; 5,00000000000000e+04; 2,12500000000000e+02
Hub_84; 0; 0,00000000000000e+00; 0,00000000000000e+00; 0,00000000000000e+00; 1,00000000000000e+00; 2,83300000000000e+01; 5,00000000000000e+04; 2,12500000000000e+02
Hub_85; 372; 4,24991574382771e+02; 3,55162254035577e+05; 2,41308056576767e+03; 1,50014675038041e+01; 2,83300000000000e+01; 5,00000000000000e+04; 2,12500000000000e+02
