#transport;facility_org;facility_dest;tariff;level;transport costs;number of containers;handling costs; total costs
Supplier_358_Hub_85_LTL||Current_LTL||LTL_TR-DE_W_2000;Supplier_358;Hub_85;LTL||Current_LTL||LTL_TR-DE_W_2000;X;2.695,1563316214;1,6102694769;325,9291898262;3.021,0855214476;
Supplier_99_Hub_83_LTL||Current_LTL||LTL_DE_W-DE_W_100;Supplier_99;Hub_83;LTL||Current_LTL||LTL_DE_W-DE_W_100;X;54,1250761198;1,0045485546;2,8525389150;56,9776150348;
Hub_83_Plant_10_FTL||Hub_83||Plant_10||FTL_DE_W-DE_W_250;Hub_83;Plant_10;FTL||Hub_83||Plant_10||FTL_DE_W-DE_W_250;X;329,2744457444;1,0120746582;0,0000000000;329,2744457444;
Supplier_180_Hub_83_LTL||Current_LTL||LTL_DE_W-DE_W_500;Supplier_180;Hub_83;LTL||Current_LTL||LTL_DE_W-DE_W_500;X;241,6900000000;1,0000000000;19,0272532123;260,7172532123;
Supplier_255_Hub_85_LTL||Current_LTL||LTL_DE_W-DE_W_250;Supplier_255;Hub_85;LTL||Current_LTL||LTL_DE_W-DE_W_250;X;305,3490972186;1,0212344389;67,3970824654;372,7461796840;
Supplier_14_Hub_83_LTL||Current_LTL||LTL_GB-DE_W_1000;Supplier_14;Hub_83;LTL||Current_LTL||LTL_GB-DE_W_1000;X;36,3267536391;1,0000000000;0,0077777143;36,3345313534;
Supplier_89_Hub_83_LTL||Current_LTL||LTL_DE_W-DE_W_100;Supplier_89;Hub_83;LTL||Current_LTL||LTL_DE_W-DE_W_100;X;19,1800000000;1,0000000000;0,0238167945;19,2038167945;
Hub_83_Hub_85_FTL||Hub_83||Hub_85||FTL_MainRun;Hub_83;Hub_85;FTL||Hub_83||Hub_85||FTL_MainRun;X;854,9669902315;2,5760431375;734,5887736667;1.589,5557638983;
Supplier_122_Hub_83_FTL||Supplier_122||Hub_83||FTL_DE_W-DE_W_250;Supplier_122;Hub_83;FTL||Supplier_122||Hub_83||FTL_DE_W-DE_W_250;X;1.300,0988478029;6,2170895103;1.646,1546580413;2.946,2535058442;
Hub_83_Hub_82_FTL||Hub_83||Hub_82||FTL_MainRun;Hub_83;Hub_82;FTL||Hub_83||Hub_82||FTL_MainRun;X;5.723,8783781870;6,6378085992;1.549,0126178247;7.272,8909960117;
Supplier_285_Hub_85_LTL||Current_LTL||LTL_CZ-DE_W_500;Supplier_285;Hub_85;LTL||Current_LTL||LTL_CZ-DE_W_500;X;325,6100000000;1,0000000000;68,1984788857;393,8084788857;
Hub_85_Plant_11_FTL||Hub_85||Plant_11||FTL_DE_W-HU_1000;Hub_85;Plant_11;FTL||Hub_85||Plant_11||FTL_DE_W-HU_1000;X;1.884,8217357297;2,9734525263;0,0000000000;1.884,8217357297;
Supplier_332_Hub_85_FTL||Supplier_332||Hub_85||FTL_PL-DE_W_1000;Supplier_332;Hub_85;FTL||Supplier_332||Hub_85||FTL_PL-DE_W_1000;X;761,6173947160;1,1468152750;338,8117625948;1.100,4291573108;
Supplier_362_Hub_85_LTL||Current_LTL||LTL_DE_W-DE_W_250;Supplier_362;Hub_85;LTL||Current_LTL||LTL_DE_W-DE_W_250;X;50,4600000000;1,0000000000;0,9093942857;51,3693942857;
Supplier_118_Hub_83_LTL||Current_LTL||LTL_DE_W-DE_W_100;Supplier_118;Hub_83;LTL||Current_LTL||LTL_DE_W-DE_W_100;X;26,1800000000;1,0000000000;0,7984601486;26,9784601486;
Supplier_202_Hub_85_LTL||Current_LTL||LTL_DE_W-DE_W_500;Supplier_202;Hub_85;LTL||Current_LTL||LTL_DE_W-DE_W_500;X;35,9000000000;1,0000000000;0,1121785714;36,0121785714;
Supplier_249_Hub_85_FTL||Supplier_249||Hub_85||FTL_DE_W-DE_W_250;Supplier_249;Hub_85;FTL||Supplier_249||Hub_85||FTL_DE_W-DE_W_250;X;353,2768195122;1,0000000000;222,4985260989;575,7753456111;
