#unique transport name;origin-facility;destination-facility;tariff_name;Level-name (or 'null' if not specified);costValue;frequency/number-of-copies;list of commodity-value pairs;
Hub_90_Plant_18_FTL||Hub_90||Plant_18||FTL_DE_W-DE_W_100;Hub_90;Plant_18;FTL||Hub_90||Plant_18||FTL_DE_W-DE_W_100;null;4,84443271191280e+02;3,47096991610862e+00;5,07603875942956e+02;eId2.883;err;2,31606047516753e+01;
Hub_90_Plant_19_FTL||Hub_90||Plant_19||FTL_DE_W-CZ_250;Hub_90;Plant_19;FTL||Hub_90||Plant_19||FTL_DE_W-CZ_250;null;5,88467249164310e+02;3,08906692474704e+00;6,19654658312696e+02;eId2.884;err;3,11874091483861e+01;
Hub_90_Plant_2_FTL||Hub_90||Plant_2||FTL_DE_W-ES_2000;Hub_90;Plant_2;FTL||Hub_90||Plant_2||FTL_DE_W-ES_2000;null;2,12678970216158e+03;1,09962757983640e+00;2,46631420386783e+03;eId2.867;err;3,39524501706246e+02;
Hub_90_Plant_20_LTL||Current_LTL||LTL_DE_W-DE_W||500;Hub_90;Plant_20;LTL||Current_LTL||LTL_DE_W-DE_W||500;seventeen;2,92640000000000e+02;1,00000000000000e+00;3,16381054641823e+02;eId2.885;err;2,37410546418234e+01;
Hub_90_Plant_21_FTL||Hub_90||Plant_21||FTL_DE_W-DE_W_250;Hub_90;Plant_21;FTL||Hub_90||Plant_21||FTL_DE_W-DE_W_250;null;7,88583084004080e+02;3,59509042171908e+00;8,24872322513863e+02;eId2.886;err;3,62892385097836e+01;
Hub_90_Plant_22_LTL||Current_LTL||LTL_DE_W-CZ||250;Hub_90;Plant_22;LTL||Current_LTL||LTL_DE_W-CZ||250;eighteen;1,66470000000000e+02;1,00000000000000e+00;1,02089292132599e+02;eId2.887;err;-6,43807078674006e+01;
Hub_90_Plant_23_LTL||Current_LTL||LTL_DE_W-CZ||250;Hub_90;Plant_23;LTL||Current_LTL||LTL_DE_W-CZ||250;eight;7,43900000000000e+01;1,00000000000000e+00;4,75702037883919e+01;eId2.888;err;-2,68197962116081e+01;
Hub_90_Plant_3_FTL||Hub_90||Plant_3||FTL_DE_W-DE_W_500;Hub_90;Plant_3;FTL||Hub_90||Plant_3||FTL_DE_W-DE_W_500;null;4,69330000000000e+02;1,00000000000000e+00;4,42712412933979e+02;eId2.868;err;-2,66175870660213e+01;
Hub_90_Plant_4_FTL||Hub_90||Plant_4||FTL_DE_W-DE_W_500;Hub_90;Plant_4;FTL||Hub_90||Plant_4||FTL_DE_W-DE_W_500;null;1,92521370529595e+03;4,73281308150831e+00;1,99063698978950e+03;eId2.869;err;6,54232844935511e+01;
Hub_90_Plant_6_FTL||Hub_90||Plant_6||FTL_DE_W-DE_W_500;Hub_90;Plant_6;FTL||Hub_90||Plant_6||FTL_DE_W-DE_W_500;null;1,12735431549623e+03;2,77291006369596e+00;1,19596933051847e+03;eId2.871;err;6,86150150222404e+01;
