,Best objective found 
Instance,Run 1,Run 2, Run 3, Run 4, Run 5, Run 6, Run 7, Run 8, Run 9, Run 10 
Ord_4_Veh_3_Loc_7,3444.671883801094,3444.671883801094,3444.671883801094,3444.671883801094,3444.671883801094,3444.671883801094,3444.671883801094,3444.671883801094,3444.671883801094,3444.671883801094
Ord_12_Veh_7_Loc_9,149692.38751349074,149692.38751349074,149692.38751349074,149692.38751349074,149692.38751349074,149692.38751349074,149692.38751349074,149692.38751349074,149692.38751349074,149692.38751349074
Ord_35_Veh_20_Loc_22,9857.911630462855,10259.543046075036,10343.555200399773,10403.908251174109,10460.6468485386,10409.799078544758,10312.656481685015,9941.251570062928,10270.460679371792,9854.623632336676
Ord_80_Veh_45_Loc_45,21280.008571401937,21711.131862965343,20791.627979406057,22346.18566517791,20902.928486010966,20949.497609615395,21440.42822501622,22702.66107874162,22679.987918889125,21010.396325424717
Ord_150_Veh_80_Loc_85,33134.04678171813,36364.376321526426,33661.026037854564,34180.32473616138,35688.78473863345,34451.38487494587,33486.93772598596,35144.79407906545,33647.0148832442,34169.11676943878

Best solution iteration,Run 1,Run 2, Run 3, Run 4, Run 5, Run 6, Run 7, Run 8, Run 9, Run 10
Ord_4_Veh_3_Loc_7,4,16,18,13,28,4,8,4,17,9
Ord_12_Veh_7_Loc_9,29,785,535,1875,876,727,526,901,319,1091
Ord_35_Veh_20_Loc_22,3836,4148,2282,1342,3292,1583,1672,643,5657,7179
Ord_80_Veh_45_Loc_45,2598,1771,2376,7131,2095,2494,9968,9876,1235,3399
Ord_150_Veh_80_Loc_85,9983,7205,1420,4034,5720,2519,2174,6321,2265,7572

Instance, No transport Objective, Initial Solution Average Objective, Initial Solution Average Imporvement, Average Objective, Average Improvement, Best Objective, Best Improvement, Initial Solution Average Run Time, Average Total Run Time 
Ord_4_Veh_3_Loc_7,609680.262957874,609680.2629578739,0.0,3444.671883801094,0.9943500354315404,3444.671883801094,0.9943500354315404,5.7077000000000004E-6,0.143057269
Ord_12_Veh_7_Loc_9,1023745.5137204396,1023745.5137204395,0.0,149692.38751349077,0.8537796888901745,149692.38751349074,0.8537796888901745,8.520600000000003E-6,0.4439948656
Ord_35_Veh_20_Loc_22,2682067.8621212123,2682067.8621212128,0.0,10211.435641865155,0.9961927004957329,9854.623632336676,0.9963257366558419,6.8607E-6,2.3324699254
Ord_80_Veh_45_Loc_45,6422128.600396535,6422128.600396535,0.0,21581.485372264928,0.9966395121127078,20791.627979406057,0.9967625020809888,7.552000000000001E-6,14.871603635899998
Ord_150_Veh_80_Loc_85,1.2059380272294568E7,1.2059380272294568E7,0.0,34392.780694857414,0.997148047418832,33134.04678171813,0.9972524254121216,7.913999999999999E-6,64.51906139510001

Operator,Ord_4_Veh_3_Loc_7 Average Running Time,Ord_4_Veh_3_Loc_7 Average Times Rum,Ord_12_Veh_7_Loc_9 Average Running Time,Ord_12_Veh_7_Loc_9 Average Times Rum,Ord_35_Veh_20_Loc_22 Average Running Time,Ord_35_Veh_20_Loc_22 Average Times Rum,Ord_80_Veh_45_Loc_45 Average Running Time,Ord_80_Veh_45_Loc_45 Average Times Rum,Ord_150_Veh_80_Loc_85 Average Running Time,Ord_150_Veh_80_Loc_85 Average Times Rum
swapf,1.826306862667406E-5,12619,6.996027037298447E-6,18419,9.886315410712505E-6,9727,2.7867118731759107E-5,7538,7.581152355948594E-5,7237
exch3,4.106260095410851E-6,14883,4.518941317898515E-6,22460,3.834246809691126E-6,10814,6.205613846848891E-6,8854,9.190086744432678E-6,9430
2-opt,3.4735460443323143E-6,11098,4.52721404599131E-6,8045,9.163185275600677E-6,7783,2.8392989855896805E-5,10548,4.0017783882422534E-5,10138
rrif,8.526814524529965E-6,20159,5.89484940711464E-5,9614,3.862761203719951E-5,5699,1.5093815641384147E-4,5722,5.902191896393899E-4,5463
rncic,1.5168699267046676E-5,13507,7.556624916566587E-5,14982,3.2862809512157763E-4,6539,0.0017999511520798625,6010,0.007955927120556434,5823
reig,1.30288333195535E-5,12095,7.425076985239554E-5,12127,2.992747976855052E-4,24541,0.0018691819037973726,26413,0.00830712279823855,31339
rsirg,1.38165942195793E-5,15639,5.691900745488719E-5,14353,3.5486164902427187E-4,34897,0.0024251332419017715,34915,0.010749663599738245,30570

Weights per segments Run 1 Ord_4_Veh_3_Loc_7,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
swapf,0.14285714285714285,0.128860219056012,0.1130881752448096,0.1130881752448096,0.1130881752448096,0.1130881752448096,0.15676381921825094,0.15676381921825094,0.13541105537460077,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062,0.11832884429968062
exch3,0.14285714285714285,0.14287416595052901,0.12429933276042321,0.12429933276042321,0.12429933276042321,0.12429933276042321,0.11648630938552797,0.11648630938552797,0.19024787103783414,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732,0.16219829683026732
2-opt,0.14285714285714285,0.12428571428571428,0.10942857142857142,0.10942857142857142,0.10942857142857142,0.10942857142857142,0.09754285714285714,0.09754285714285714,0.08803428571428572,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857,0.08042742857142857
rrif,0.14285714285714285,0.14083213368875655,0.2526657069510052,0.2526657069510052,0.2526657069510052,0.2526657069510052,0.20598185272984693,0.20598185272984693,0.17478548218387757,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102,0.279828385747102
rncic,0.14285714285714285,0.12554783160821706,0.11043826528657365,0.11043826528657365,0.11043826528657365,0.11043826528657365,0.09835061222925892,0.09835061222925892,0.13162166625399535,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629,0.11529733300319629
reig,0.14285714285714285,0.14707835001888414,0.1276626800151073,0.1276626800151073,0.1276626800151073,0.1276626800151073,0.1551647672300085,0.1551647672300085,0.1341318137840068,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545,0.11730545102720545
rsirg,0.14285714285714285,0.1905215853918869,0.16241726831350953,0.16241726831350953,0.16241726831350953,0.16241726831350953,0.16970978206424958,0.16970978206424958,0.14576782565139967,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974,0.12661426052111974

Weights per segments Run 3 Ord_12_Veh_7_Loc_9,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
swapf,0.14285714285714285,0.13775759692630107,0.14245394349108828,0.15878744930508715,0.1741032090232553,0.17605780366628798,0.16767687457081687,0.18756665882071294,0.19363466861401063,0.1844208333372986,0.17588116129684403,0.17195743324454307,0.15145126415798982,0.16536460135897865,0.19410076712735738,0.1832769917928322,0.17476658277328494,0.22556047689994138,0.2529828107381339,0.2548425350184838,0.26265842474898726,0.25770247765347376,0.2709454958613302,0.26335914252412296,0.24734342131349346,0.25683870101475875,0.23211413750130383,0.22396109615803433,0.19371025530376115,0.18023404856457423,0.18085390551832603,0.18126659281012272,0.1740637296259387,0.17466975262103349,0.15826924738090178,0.13661539790472144,0.16338829214302755,0.1684792911500888,0.18134465740986697,0.1550757259278936,0.16839450614195964,0.16654986464070262,0.16339384956497105,0.1714350576431282,0.18003156623208477,0.15402525298566783,0.15555817062802973,0.14173003162335102,0.16347784872142238,0.1407822789771379,0.12262582318171032,0.1575772402341969,0.24136614001344447,0.2031775186099567,0.1781540011723166,0.20431519415962832,0.1837615431912002,0.19809773424619442,0.19181152073028887,0.17741408642118078,0.20568098842828342,0.2175695145721901,0.21430530760453653,0.2032142357193438,0.1887886038633221,0.20466933496080897,0.20339473896706237,0.20267613853080124,0.20183396413643417,0.19512156224399152,0.19577984381541794,0.18517567446032393,0.19238091915332872,0.18465833951663413,0.19019695492727637,0.20148996028756955,0.1932432502813377,0.2215351491367109,0.207656876156499,0.18627022779894198,0.18787841664628174,0.2054845312202152,0.20038851686002906,0.19496227249682363,0.20268581116763534,0.18045157938014808,0.18250226964804447,0.19653426214111358,0.2350306133742181,0.20041298968058346,0.17765298684777003,0.15652809306483176,0.1991965886785323,0.1799777960024917,0.1787249246953662,0.15297993975629295,0.17635296481192037,0.17493493809374272,0.1883350472491877,0.17623559137876063
