,Best objective found 
Instance,Run 1,Run 2, Run 3, Run 4, Run 5, Run 6, Run 7, Run 8, Run 9, Run 10 
Ord_12_Veh_7_Loc_9,2248.800689976417,2248.800689976417,2248.800689976417,2248.800689976417,2248.800689976417,2248.800689976417,2248.800689976417,2248.800689976417,2248.800689976417,2248.800689976417

Best solution iteration,Run 1,Run 2, Run 3, Run 4, Run 5, Run 6, Run 7, Run 8, Run 9, Run 10
Ord_12_Veh_7_Loc_9,202,1536,1165,810,926,177,98,5623,758,1814

Instance, No transport Objective, Initial Solution Average Objective, Initial Solution Average Imporvement, Average Objective, Average Improvement, Best Objective, Best Improvement, Initial Solution Average Run Time, Average Total Run Time 
Ord_12_Veh_7_Loc_9,781445.2147241257,781445.2147241256,0.0,2248.8006899764164,0.9971222541931228,2248.800689976417,0.9971222541931231,6.0089E-6,1.536112618

Operator,Ord_12_Veh_7_Loc_9 Average Running Time,Ord_12_Veh_7_Loc_9 Average Times Rum
swapf,7.724949867815558E-6,20426
rrif,2.39452807971015E-5,6072
rncic,1.9987332323336142E-4,9736
reig,2.113800637845057E-4,31481
rsirg,1.8896754870682906E-4,32285

Weights per segments Run 1 Ord_12_Veh_7_Loc_9,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
swapf,0.2,0.18357634793113337,0.1696999395456575,0.16539282514940828,0.15119288849191187,0.15093164888012187,0.12924311089655285,0.12859420872035335,0.13663774321390643,0.12941890189920213,0.13299926134152398,0.13539620971798835,0.13038074588298584,0.14077480673639295,0.12808172509611943,0.14492312888944386,0.1704800036552303,0.17803689548616772,0.19217631091538603,0.16430167454717196,0.1913334259686728,0.2486117644716207,0.3039427923602147,0.2878928414313281,0.30511649992502143,0.2671950599931615,0.254019205889266,0.21321536471141284,0.18057229176913028,0.18291452632869007,0.18291452632869007,0.18108952190377547,0.1548716175230204,0.1606575051881857,0.13852600415054858,0.12082080332043886,0.12082080332043886,0.1066566426563511,0.11993960660023467,0.22529300264545718,0.3028253953304311,0.3028253953304311,0.3028253953304311,0.26711170648486265,0.2516385745793611,0.23764113489284672,0.20011290791427738,0.17009032633142193,0.16783678139622973,0.1936602880611462,0.164928230448917,0.22459347764740012,0.27043473386701533,0.24461164710192987,0.24375340312880692,0.20500272250304555,0.20500272250304555,0.17400217800243645,0.14671571260568342,0.1903455430575197,0.16227643444601578,0.17260957558051426,0.22239145793276585,0.1989377565101471,0.19720647119277243,0.23606624818143088,0.20864072610541742,0.22600348997524303,0.21007361630334986,0.27305889304267994,0.2704053934432704,0.27953312324852114,0.28055673115695645,0.2547771057272238,0.247812449753283,0.20824995980262642,0.2423831003722216,0.2423831003722216,0.20062707768421165,0.17050166214736934,0.1464013297178955,0.1464013297178955,0.1464013297178955,0.12771076822831945,0.17239936076185844,0.19687625552677995,0.22337474641593447,0.26037518980290464,0.2241416802983401,0.1893133442386721,0.16145067539093771,0.16145067539093771,0.13916054031275019,0.16077119732177947,0.1791773899978692,0.2166548954318964,0.18332391634551715,0.15665913307641374,0.1545990151446044,0.1336792121156835
rrif,0.2,0.1783831172952307,0.16782924115701048,0.15237237118348088,0.14569283479114525,0.1402286784243789,0.1268457991657006,0.12072642544604811,0.10965044728753157,0.0969368486887272,0.08099333944967607,0.07507535542470446,0.06833420113048674,0.06466736090438939,0.061733888723511515,0.05938711097880921,0.05750968878304737,0.0560077510264379,0.05480620082115033,0.053844960656920265,0.05307596852553622,0.052460774820428976,0.05196861985634317,0.051574895885074544,0.05125991670805964,0.05100793336644771,0.050806346693158165,0.05064507735452653,0.05051606188362122,0.05041284950689698,0.05041284950689698,0.050330279605517586,0.050264223684414064,0.050211378947531256,0.050169103158025,0.05013528252642001,0.05013528252642001,0.050108226021136,0.050086580816908796,0.05006926465352704,0.05005541172282163,0.05005541172282163,0.05005541172282163,0.050044329378257306,0.05003546350260584,0.05002837080208468,0.05002269664166774,0.050018157313334186,0.05001452585066735,0.05001162068053388,0.05000929654442711,0.0500074372355417,0.05000594978843336,0.050004759830746696,0.05000380786459736,0.050003046291677886,0.050003046291677886,0.05000243703334231,0.05000194962667385,0.050001559701339085,0.050001247761071274,0.05000099820885703,0.05000079856708562,0.0500006388536685,0.0500005110829348,0.050000408866347844,0.05000032709307827,0.050000261674462615,0.05000020933957009,0.05000016747165607,0.050000133977324855,0.05000010718185989,0.05000008574548791,0.05000006859639033,0.05000005487711226,0.05000004390168981,0.05000003512135185,0.05000003512135185,0.05000002809708148,0.050000022477665176,0.05000001798213215,0.05000001798213215,0.05000001798213215,0.05000001438570571,0.05000001150856457,0.05000000920685165,0.050000007365481325,0.05000000589238506,0.05000000471390805,0.05000000377112644,0.05000000301690115,0.05000000301690115,0.050000002413520914,0.05000000193081673,0.05000000154465338,0.0500000012357227,0.05000000098857816,0.05000000079086253,0.05000000063269003,0.050000000506152026
rncic,0.2,0.2032440949706855,0.20614137133264662,0.19407560750736652,0.17323148801422147,0.17663335029051364,0.18096304193053595,0.17447010354809536,0.17987311254144658,0.17707785712448432,0.1633094088342373,0.16063285500686705,0.16912369370540747,0.17858228115378158,0.17924671835127245,0.168253591772958,0.14460287341836642,0.12568229873469314,0.10994245573163988,0.0979539645853119,0.08836317166824952,0.0806905373345996,0.07455242986767968,0.06964194389414374,0.06571355511531499,0.06257084409225198,0.06005667527380158,0.058045340219041265,0.05643627217523301,0.05514901774018641,0.05514901774018641,0.05411921419214913,0.0532953713537193,0.052636297082975445,0.05210903766638036,0.05168723013310429,0.05168723013310429,0.05134978410648343,0.051079827285186744,0.0508638618281494,0.05069108946251952,0.05069108946251952,0.05069108946251952,0.05055287157001562,0.05044229725601249,0.05035383780481,0.050283070243847997,0.050226456195078394,0.08676912810833123,0.07941530248666498,0.07353224198933198,0.0688257935914656,0.06506063487317248,0.06500277706901687,0.062002221655213505,0.05960177732417081,0.05960177732417081,0.057681421859336654,0.11484429363589696,0.10187543490871757,0.09150034792697406,0.08320027834157927,0.07656022267326341,0.10049407977795499,0.09039526382236401,0.08231621105789122,0.07585296884631297,0.07068237507705037,0.0665459000616403,0.06323672004931223,0.060589376039449784,0.05847150083155983,0.056777200665247864,0.08954062715279262,0.11236469169584887,0.09989175335667909,0.08991340268534327,0.08991340268534327,0.08193072214827461,0.0755445777186197,0.07043566217489576,0.07043566217489576,0.07043566217489576,0.0663485297399166,0.06307882379193328,0.060463059033546616,0.0583704472268373,0.05669635778146984,0.09921828297563155,0.08937462638050524,0.08149970110440419,0.08149970110440419,0.14577057013207823,0.12661645610566258,0.11129316488453006,0.10980654388047768,0.09784523510438214,0.08827618808350572,0.10255372357604828,0.09204297886083862
reig,0.2,0.22519878934041815,0.24098252498591302,0.25068933604838545,0.2754591692734226,0.28493390975909083,0.3047013762552566,0.30878260076531905,0.29930330833502755,0.3065576057416466,0.29680832928210127,0.3070554604280388,0.28626177804234487,0.28868794793751923,0.2821345118628597,0.2618621070785642,0.28758319780493186,0.30295912022741656,0.29805095096051315,0.3276193787605878,0.35792284113796663,0.34008234873975723,0.29973847685657445,0.3248353695569277,0.32213609523534587,0.3101464315470012,0.2883803031323378,0.3196273194289472,0.3524808817603862,0.3798744691878365,0.3798744691878365,0.42790073510672033,0.4397596124756202,0.4166256949818854,0.4933005559855083,0.5546404447884066,0.5546404447884066,0.6037123558307252,0.5561170687630185,0.46106131968107344,0.3969428250230821,0.3969428250230821,0.3969428250230821,0.39780354093888753,0.34385854909035296,0.2916006007401723,0.2959120595395063,0.24672964763160504,0.2782655985779724,0.2938815143953728,0.32707242463105235,0.3151103781403803,0.2768410166256939,0.3100800144266308,0.32592782996587066,0.2707422639726966,0.2707422639726966,0.262324805330204,0.27619006399367957,0.2550061052489977,0.36400488419919813,0.37872569195329364,0.38272738900567294,0.37704256694224325,0.3246519563670939,0.26985875735076964,0.2739596845901117,0.24411724262158432,0.24139534240623728,0.20675263756135345,0.19523001096172946,0.17614468513587983,0.16435760857382015,0.18821034394267738,0.20696669204068546,0.3147242970287747,0.26177943762301975,0.26177943762301975,0.3074322619839167,0.3362583095871334,0.27900664766970673,0.27900664766970673,0.27900664766970673,0.322483797392044,0.3259522761515735,0.31278249761298815,0.2872799779623027,0.2665779090714128,0.27279312366552866,0.24479699893242293,0.20583759914593835,0.20583759914593835,0.24907759376761773,0.3065352170890386,0.30356713383328354,0.30315954827813735,0.3487776386225099,0.28902211089800794,0.2839067643486584,0.23712541147892674
rsirg,0.2,0.2095976504625324,0.2153469229787725,0.237469860111359,0.25442361942929886,0.24727241264589478,0.258246671751954,0.2674266615201841,0.2745353886220879,0.29000878654593976,0.3258896610924614,0.3218401194224014,0.3458995812387752,0.32728760326791684,0.3488031559662369,0.3655740612802247,0.339824236338424,0.3373139345252847,0.3450240815713106,0.3562800214500081,0.3093045926995748,0.2781545746335935,0.269797681059188,0.2660549492325259,0.255773933016258,0.3090797310011375,0.3467374690114363,0.3584668982860721,0.35999449241162923,0.33164913723639,0.33164913723639,0.2865602491918374,0.30180917496322607,0.3198691237994222,0.26589529903953774,0.2227162392316302,0.2227162392316302,0.1881729913853042,0.22277691653465131,0.2127125511917929,0.19948527846114564,0.19948527846114564,0.19948527846114564,0.23448755162797688,0.30402511557166756,0.37037605576008636,0.40366926566070066,0.48293541252856054,0.41711396606679935,0.38303127437628215,0.38445780638627164,0.34146291338521234,0.33765766484568493,0.33030080157167574,0.3183127373855115,0.4146501899084092,0.4146501899084092,0.4559891577746806,0.4122479801380662,0.40277135708342593,0.3322170856667408,0.3154634559157558,0.2683201318212122,0.2735249579159862,0.337745797534835,0.3617583745435606,0.39154629336507973,0.4091966306516598,0.43198493188920256,0.4069515818749984,0.42377508557822563,0.43585058360217943,0.44830837385848776,0.417471854580916,0.38285611163307054,0.3271339459102301,0.35592402419806357,0.35592402419806357,0.36000991008651556,0.3676954280692124,0.4541563424553699,0.4541563424553699,0.4541563424553699,0.43345689025401424,0.38856952778607023,0.37987817861983364,0.38097482102944424,0.36635053745182766,0.35384690834659166,0.42651502667727326,0.5012120213418185,0.5012120213418185,0.4159912933740329,0.3560771275527026,0.3559623097396638,0.3203790111737658,0.3200532089390127,0.41604256715121013,0.40894049629799895,0.4871523970383991

Operator Score per Iteration
,Ord_12_Veh_7_Loc_9 Run 1,,,,
Iteration,swapf,rrif,rncic,reig,rsirg
1,0.0,0.0,0.0,8.0,0.0
2,0.0,0.0,0.0,16.0,0.0
3,0.0,0.0,0.0,24.0,0.0
4,1.0,0.0,0.0,24.0,0.0
5,1.0,1.0,0.0,24.0,0.0
6,1.0,1.0,8.0,24.0,0.0
7,2.0,1.0,8.0,24.0,0.0
8,2.0,1.0,8.0,24.0,0.0
9,2.0,1.0,8.0,24.0,4.0
10,2.0,5.0,8.0,24.0,4.0
11,10.0,5.0,8.0,24.0,4.0
12,10.0,5.0,8.0,24.0,12.0
13,10.0,13.0,8.0,24.0,12.0
14,10.0,13.0,8.0,32.0,12.0
15,10.0,13.0,8.0,32.0,20.0
16,10.0,13.0,16.0,32.0,20.0
17,10.0,13.0,24.0,32.0,20.0
18,10.0,14.0,24.0,32.0,20.0
19,10.0,14.0,24.0,32.0,20.0
20,11.0,14.0,24.0,32.0,20.0
21,11.0,14.0,24.0,32.0,24.0
22,11.0,14.0,24.0,32.0,32.0
23,11.0,14.0,32.0,32.0,32.0
24,11.0,14.0,32.0,32.0,32.0
25,11.0,14.0,32.0,32.0,32.0
26,11.0,15.0,32.0,32.0,32.0
27,15.0,15.0,32.0,32.0,32.0
28,15.0,15.0,36.0,32.0,32.0
29,15.0,15.0,40.0,32.0,32.0
30,16.0,15.0,40.0,32.0,32.0
31,17.0,15.0,40.0,32.0,32.0
32,17.0,15.0,40.0,36.0,32.0
33,17.0,15.0,40.0,36.0,36.0
34,17.0,15.0,40.0,36.0,40.0
35,17.0,15.0,40.0,36.0,44.0
36,17.0,15.0,40.0,36.0,45.0
37,17.0,15.0,40.0,36.0,49.0
38,17.0,15.0,41.0,36.0,49.0
39,17.0,15.0,41.0,36.0,50.0
40,18.0,15.0,41.0,36.0,50.0
41,18.0,15.0,41.0,36.0,50.0
42,18.0,15.0,41.0,36.0,58.0
43,18.0,15.0,41.0,36.0,66.0
44,19.0,15.0,41.0,36.0,66.0
45,19.0,15.0,41.0,44.0,66.0
46,19.0,16.0,41.0,44.0,66.0
47,19.0,16.0,45.0,44.0,66.0
48,19.0,17.0,45.0,44.0,66.0
49,19.0,17.0,45.0,48.0,66.0
50,19.0,17.0,45.0,56.0,66.0
51,19.0,17.0,45.0,56.0,66.0
52,19.0,17.0,45.0,56.0,67.0
53,19.0,18.0,45.0,56.0,67.0
54,19.0,18.0,45.0,60.0,67.0
55,19.0,18.0,45.0,64.0,67.0
56,20.0,18.0,45.0,64.0,67.0
57,20.0,18.0,45.0,68.0,67.0
58,20.0,18.0,45.0,68.0,67.0
59,20.0,18.0,45.0,72.0,67.0
60,20.0,19.0,45.0,72.0,67.0
61,20.0,19.0,46.0,72.0,67.0
62,20.0,19.0,46.0,76.0,67.0
63,20.0,20.0,46.0,76.0,67.0
64,20.0,20.0,46.0,80.0,67.0
65,20.0,21.0,46.0,80.0,67.0
66,20.0,21.0,47.0,80.0,67.0
67,20.0,21.0,51.0,80.0,67.0
68,20.0,21.0,51.0,84.0,67.0
69,20.0,21.0,51.0,88.0,67.0
70,20.0,21.0,52.0,88.0,67.0
71,20.0,21.0,53.0,88.0,67.0
72,24.0,21.0,53.0,88.0,67.0
73,25.0,21.0,53.0,88.0,67.0
74,25.0,21.0,53.0,92.0,67.0
75,25.0,21.0,53.0,92.0,67.0
76,26.0,21.0,53.0,92.0,67.0
77,26.0,21.0,53.0,92.0,67.0
78,26.0,21.0,53.0,96.0,67.0
79,26.0,21.0,53.0,96.0,67.0
80,26.0,21.0,54.0,96.0,67.0
81,26.0,21.0,54.0,96.0,71.0
82,26.0,21.0,58.0,96.0,71.0
83,26.0,21.0,58.0,96.0,71.0
84,26.0,22.0,58.0,96.0,71.0
85,26.0,22.0,58.0,96.0,71.0
86,26.0,22.0,59.0,96.0,71.0
87,26.0,22.0,59.0,100.0,71.0
88,27.0,22.0,59.0,100.0,71.0
89,27.0,22.0,59.0,104.0,71.0
90,27.0,22.0,59.0,104.0,71.0
91,27.0,23.0,59.0,104.0,71.0
92,27.0,24.0,59.0,104.0,71.0
93,27.0,24.0,63.0,104.0,71.0
94,27.0,25.0,63.0,104.0,71.0
95,27.0,25.0,63.0,108.0,71.0
96,27.0,25.0,64.0,108.0,71.0
97,27.0,25.0,65.0,108.0,71.0
98,27.0,25.0,65.0,112.0,71.0
99,27.0,25.0,65.0,112.0,71.0
100,27.0,25.0,65.0,112.0,71.0
101,0.0,1.0,0.0,0.0,0.0
102,1.0,1.0,0.0,0.0,0.0
103,1.0,1.0,1.0,0.0,0.0
104,1.0,1.0,1.0,4.0,0.0
105,1.0,1.0,1.0,8.0,0.0
106,2.0,1.0,1.0,8.0,0.0
107,3.0,1.0,1.0,8.0,0.0
108,3.0,1.0,1.0,12.0,0.0
109,3.0,1.0,1.0,12.0,1.0
110,3.0,1.0,1.0,12.0,1.0
111,3.0,1.0,2.0,12.0,1.0
112,3.0,1.0,2.0,12.0,2.0
113,3.0,2.0,2.0,12.0,2.0
