,Operator Analysis for Inst1_Ord_12_Veh_7_Loc_9 

Bit Strings represent use of the following operators in order: 
,swapf,exch3,2-opt,rrif,rncic,reig,rsirg

Operators (1=used), Initial Objective, Average Objective,Best Objective,Best Realtive to Average,Average Run Time
1010100,1023745.5137204396,149692.6429292842,149692.38751349074,1.7062681802655038E-6,0.2919536482999999
1010101,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.3490954201
1010110,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.41778415299999994
1010111,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.3977080358
1011000,1023745.5137204396,150170.49895588998,150170.49895588995,1.9380524576456562E-16,0.3029622020999999
1011001,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.3371141722
1011010,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.3555503821
1011011,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.3761094891
1011100,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.36602774949999994
1011101,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.37076478730000006
1011110,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.4029123876
1011111,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.4142612341999999
1100000,1023745.5137204396,153270.6000083872,150170.49895588995,0.020226325546631965,0.07587117749999998
1100001,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.1995107341
1100010,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.23241535610000003
1100011,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.2809280802
1100100,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.23314761109999999
1100101,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.2795242929
1100110,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.31161246340000004
1100111,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.3330007401
1101000,1023745.5137204396,150170.49895588998,150170.49895588995,1.9380524576456562E-16,0.2096087877
1101001,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.2664954362
1101010,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.27968769149999995
1101011,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.3148675612000001
1101100,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.2925963099999999
1101101,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.31528678239999997
1101110,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.34362340690000004
1101111,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.4187701926
1110000,1023745.5137204396,151680.09854716915,150170.49895588995,0.009952522484746056,0.08265404999999999
1110001,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.2187240186
1110010,1023745.5137204396,149692.89834507758,149692.38751349074,3.412530537449891E-6,0.27748873770000004
1110011,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.3412073108
1110100,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.25310746279999996
1110101,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.3203546612
1110110,1023745.5137204396,149692.6429292842,149692.38751349074,1.7062681802655038E-6,0.33815536510000005
1110111,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.3773644385
1111000,1023745.5137204396,150170.49895588998,150170.49895588995,1.9380524576456562E-16,0.22695189590000003
1111001,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.27137095050000004
1111010,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.3099599547
1111011,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.3472544284
1111100,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.3083474029
1111101,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.3563721515
1111110,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.3617271744
1111111,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.39084791339999997

swapf,super class for all Operators not working standalone as operator
exch3,exchanges 3 positions in a random vehicles schedule, returns first feasible exchange
2-opt,2-opt operator that picks a random vehicle and performs reverses on parts of the schedule until no more improvement is possible for this vehicle
rrif,removes random orders and reinserts them in the first fitting position in random vehicle
rncic,removes orders that are badly clustered and tries to insert them in the most clustered schedule
reig,Removes the most expensive orders and reinserts them in the cheapest possible position
rsirg,removes similar orders and reinserts them after regret k
