Results from runnning alns on input file instance AT-DE_W

Instance,Initial_Obj,Best_Obj,Run_Time,Segments,Segment_length
5,0.0,0.0,0.0,16.0,0.0
6,0.0,0.0,1.0,16.0,0.0
7,0.0,0.0,1.0,16.0,0.0
8,1.0,0.0,1.0,16.0,0.0
9,1.0,0.0,1.0,16.0,0.0
10,1.0,0.0,1.0,16.0,0.0
11,1.0,0.0,1.0,16.0,0.0
12,2.0,0.0,1.0,16.0,0.0
13,2.0,0.0,1.0,16.0,0.0
14,2.0,0.0,1.0,16.0,0.0
15,2.0,0.0,9.0,16.0,0.0
16,2.0,0.0,9.0,24.0,0.0
17,3.0,0.0,9.0,24.0,0.0
18,3.0,0.0,9.0,24.0,0.0
19,4.0,0.0,9.0,24.0,0.0
20,4.0,0.0,9.0,24.0,0.0
21,4.0,0.0,17.0,24.0,0.0
22,4.0,0.0,17.0,24.0,0.0
23,5.0,0.0,17.0,24.0,0.0
24,5.0,0.0,25.0,24.0,0.0
25,5.0,0.0,33.0,24.0,0.0
26,5.0,0.0,33.0,24.0,0.0
27,5.0,0.0,33.0,24.0,0.0
28,6.0,0.0,33.0,24.0,0.0
29,6.0,0.0,33.0,24.0,0.0
30,6.0,0.0,41.0,24.0,0.0
31,14.0,0.0,41.0,24.0,0.0
32,14.0,0.0,41.0,24.0,0.0
33,14.0,0.0,49.0,24.0,0.0
34,14.0,0.0,49.0,24.0,0.0
35,22.0,0.0,49.0,24.0,0.0
36,22.0,0.0,49.0,24.0,0.0
37,22.0,0.0,49.0,24.0,0.0
38,22.0,0.0,49.0,25.0,0.0
39,23.0,0.0,49.0,25.0,0.0
40,23.0,0.0,50.0,25.0,0.0
41,23.0,0.0,50.0,25.0,0.0
42,23.0,0.0,50.0,25.0,0.0
43,23.0,0.0,50.0,29.0,0.0
44,23.0,0.0,50.0,29.0,0.0
45,24.0,0.0,50.0,29.0,0.0
46,24.0,0.0,50.0,29.0,0.0
47,24.0,0.0,50.0,29.0,0.0
48,24.0,0.0,50.0,29.0,0.0
49,24.0,0.0,50.0,29.0,0.0
50,24.0,0.0,50.0,30.0,0.0
51,24.0,0.0,50.0,30.0,0.0
52,24.0,0.0,50.0,30.0,0.0
53,24.0,0.0,50.0,30.0,0.0
54,24.0,0.0,50.0,34.0,0.0
55,24.0,1.0,50.0,34.0,0.0
56,24.0,1.0,50.0,34.0,0.0
57,24.0,1.0,50.0,34.0,0.0
58,24.0,1.0,50.0,34.0,0.0
59,24.0,1.0,50.0,34.0,0.0
60,24.0,1.0,50.0,34.0,0.0
61,24.0,1.0,50.0,34.0,0.0
62,24.0,1.0,50.0,34.0,0.0
63,24.0,1.0,50.0,35.0,0.0
64,28.0,1.0,50.0,35.0,0.0
65,28.0,1.0,50.0,35.0,0.0
66,28.0,1.0,50.0,35.0,0.0
67,29.0,1.0,50.0,35.0,0.0
68,29.0,1.0,50.0,36.0,0.0
69,29.0,1.0,50.0,36.0,0.0
70,29.0,1.0,50.0,36.0,0.0
71,29.0,1.0,50.0,36.0,0.0
72,29.0,1.0,58.0,36.0,0.0
73,29.0,1.0,58.0,36.0,0.0
74,29.0,1.0,58.0,36.0,0.0
75,29.0,1.0,58.0,36.0,0.0
76,29.0,1.0,58.0,37.0,0.0
77,29.0,1.0,58.0,37.0,0.0
78,29.0,1.0,59.0,37.0,0.0
79,29.0,1.0,59.0,37.0,0.0
80,29.0,2.0,59.0,37.0,0.0
81,29.0,2.0,59.0,41.0,0.0
82,29.0,2.0,59.0,41.0,0.0
83,29.0,2.0,67.0,41.0,0.0
84,29.0,2.0,67.0,41.0,0.0
85,29.0,2.0,67.0,41.0,0.0
86,29.0,2.0,67.0,49.0,0.0
87,29.0,2.0,67.0,49.0,0.0
88,29.0,2.0,67.0,49.0,0.0
89,29.0,2.0,67.0,49.0,0.0
90,37.0,2.0,67.0,49.0,0.0
91,37.0,2.0,67.0,49.0,0.0
92,37.0,2.0,67.0,49.0,0.0
93,45.0,2.0,67.0,49.0,0.0
94,45.0,2.0,67.0,49.0,0.0
95,45.0,2.0,67.0,49.0,0.0
96,45.0,2.0,67.0,49.0,0.0
97,45.0,2.0,67.0,49.0,0.0
98,45.0,2.0,68.0,49.0,0.0
99,46.0,2.0,68.0,49.0,0.0
100,46.0,2.0,76.0,49.0,0.0
101,8.0,0.0,0.0,0.0,0.0
102,8.0,0.0,0.0,0.0,0.0
103,8.0,1.0,0.0,0.0,0.0
104,8.0,1.0,4.0,0.0,0.0
105,8.0,5.0,4.0,0.0,0.0
106,16.0,5.0,4.0,0.0,0.0
107,24.0,5.0,4.0,0.0,0.0
108,25.0,5.0,4.0,0.0,0.0
109,25.0,5.0,4.0,0.0,0.0
110,25.0,5.0,4.0,0.0,0.0
111,25.0,5.0,4.0,0.0,0.0
112,25.0,5.0,4.0,0.0,0.0
113,25.0,5.0,4.0,0.0,0.0
114,25.0,5.0,4.0,0.0,0.0
115,25.0,5.0,4.0,0.0,0.0
116,25.0,5.0,4.0,0.0,0.0
117,26.0,5.0,4.0,0.0,0.0
118,26.0,6.0,4.0,0.0,0.0
119,26.0,6.0,4.0,0.0,0.0
120,26.0,6.0,4.0,1.0,0.0
121,26.0,6.0,4.0,1.0,0.0
122,26.0,6.0,4.0,1.0,0.0
123,26.0,6.0,4.0,1.0,0.0
124,26.0,6.0,4.0,1.0,0.0
125,26.0,6.0,4.0,5.0,0.0
126,26.0,6.0,4.0,5.0,0.0
127,26.0,6.0,4.0,5.0,0.0
128,26.0,6.0,4.0,5.0,0.0
129,26.0,6.0,4.0,6.0,0.0
130,26.0,7.0,4.0,6.0,0.0
131,26.0,7.0,4.0,6.0,0.0
132,26.0,7.0,4.0,6.0,0.0
133,26.0,7.0,4.0,6.0,0.0
134,26.0,7.0,4.0,6.0,0.0
135,26.0,7.0,4.0,6.0,0.0
136,26.0,7.0,4.0,6.0,0.0
137,26.0,7.0,4.0,6.0,0.0
138,26.0,7.0,4.0,6.0,0.0
139,26.0,7.0,4.0,6.0,0.0
140,26.0,7.0,4.0,6.0,0.0
141,30.0,7.0,4.0,6.0,0.0
142,30.0,7.0,4.0,6.0,0.0
143,30.0,7.0,4.0,6.0,0.0
144,30.0,15.0,4.0,6.0,0.0
145,30.0,15.0,4.0,6.0,0.0
146,30.0,15.0,4.0,14.0,0.0
147,30.0,15.0,4.0,14.0,0.0
148,30.0,15.0,4.0,22.0,0.0
149,31.0,15.0,4.0,22.0,0.0
150,31.0,16.0,4.0,22.0,0.0
151,31.0,16.0,4.0,23.0,0.0
152,31.0,16.0,4.0,23.0,0.0
153,31.0,16.0,4.0,23.0,0.0
154,31.0,16.0,4.0,24.0,0.0
155,31.0,16.0,4.0,24.0,0.0
156,31.0,16.0,4.0,32.0,0.0
157,31.0,16.0,4.0,33.0,0.0
158,31.0,16.0,4.0,33.0,0.0
159,31.0,16.0,4.0,33.0,0.0
160,39.0,16.0,4.0,33.0,0.0
161,39.0,16.0,4.0,33.0,0.0
162,40.0,16.0,4.0,33.0,0.0
163,40.0,16.0,4.0,34.0,0.0
164,40.0,16.0,4.0,34.0,0.0
165,40.0,16.0,4.0,34.0,0.0
166,40.0,16.0,4.0,34.0,0.0
167,44.0,16.0,4.0,34.0,0.0
168,44.0,16.0,4.0,34.0,0.0
169,44.0,16.0,5.0,34.0,0.0
170,45.0,16.0,5.0,34.0,0.0
171,45.0,16.0,5.0,34.0,0.0
172,45.0,16.0,5.0,34.0,0.0
173,45.0,16.0,5.0,34.0,0.0
174,45.0,16.0,5.0,34.0,0.0
175,45.0,17.0,5.0,34.0,0.0
176,45.0,17.0,5.0,34.0,0.0
177,46.0,17.0,5.0,34.0,0.0
178,50.0,17.0,5.0,34.0,0.0
179,50.0,17.0,5.0,34.0,0.0
180,50.0,17.0,5.0,34.0,0.0
181,54.0,17.0,5.0,34.0,0.0
182,54.0,21.0,5.0,34.0,0.0
183,55.0,21.0,5.0,34.0,0.0
184,55.0,21.0,5.0,35.0,0.0
185,55.0,21.0,5.0,35.0,0.0
186,55.0,21.0,5.0,35.0,0.0
187,55.0,21.0,5.0,35.0,0.0
188,55.0,21.0,5.0,36.0,0.0
189,55.0,21.0,5.0,36.0,0.0
190,55.0,21.0,5.0,36.0,0.0
191,55.0,21.0,5.0,36.0,0.0
192,55.0,21.0,5.0,36.0,0.0
193,55.0,21.0,5.0,36.0,0.0
194,55.0,21.0,6.0,36.0,0.0
195,55.0,21.0,6.0,36.0,0.0
196,55.0,21.0,6.0,36.0,0.0
197,55.0,21.0,7.0,36.0,0.0
198,55.0,21.0,7.0,36.0,0.0
199,55.0,21.0,7.0,36.0,0.0
200,59.0,21.0,7.0,36.0,0.0
201,0.0,0.0,0.0,0.0,0.0
202,0.0,0.0,8.0,0.0,0.0
203,1.0,0.0,8.0,0.0,0.0
204,1.0,0.0,8.0,0.0,0.0
205,1.0,0.0,8.0,0.0,0.0
206,1.0,0.0,9.0,0.0,0.0
207,1.0,0.0,10.0,0.0,0.0
208,2.0,0.0,10.0,0.0,0.0
209,2.0,1.0,10.0,0.0,0.0
210,6.0,1.0,10.0,0.0,0.0
211,14.0,1.0,10.0,0.0,0.0
212,15.0,1.0,10.0,0.0,0.0
213,15.0,1.0,10.0,0.0,0.0
214,15.0,1.0,10.0,8.0,0.0
215,16.0,1.0,10.0,8.0,0.0
216,16.0,1.0,10.0,8.0,0.0
217,16.0,1.0,10.0,8.0,0.0
218,16.0,1.0,11.0,8.0,0.0
219,16.0,1.0,11.0,8.0,0.0
220,16.0,1.0,11.0,8.0,0.0
221,16.0,1.0,11.0,8.0,0.0
222,17.0,1.0,11.0,8.0,0.0
223,21.0,1.0,11.0,8.0,0.0
224,21.0,1.0,11.0,8.0,0.0
225,21.0,1.0,11.0,8.0,0.0
226,22.0,1.0,11.0,8.0,0.0
227,22.0,1.0,11.0,8.0,0.0
228,23.0,1.0,11.0,8.0,0.0
229,23.0,1.0,11.0,8.0,0.0
230,27.0,1.0,11.0,8.0,0.0
231,27.0,1.0,11.0,8.0,0.0
232,28.0,1.0,11.0,8.0,0.0
233,29.0,1.0,11.0,8.0,0.0
234,29.0,1.0,11.0,8.0,0.0
235,29.0,1.0,11.0,8.0,0.0
236,29.0,1.0,11.0,8.0,0.0
237,29.0,1.0,11.0,8.0,0.0
238,29.0,1.0,11.0,8.0,0.0
239,29.0,1.0,11.0,8.0,0.0
240,30.0,1.0,11.0,8.0,0.0
241,30.0,1.0,11.0,8.0,0.0
242,30.0,1.0,11.0,8.0,0.0
243,30.0,1.0,11.0,8.0,0.0
244,30.0,1.0,11.0,8.0,0.0
245,30.0,1.0,11.0,8.0,0.0
246,30.0,1.0,11.0,8.0,0.0
247,30.0,1.0,11.0,8.0,0.0
248,30.0,1.0,11.0,8.0,0.0
249,34.0,1.0,11.0,8.0,0.0
250,34.0,1.0,11.0,8.0,0.0
251,34.0,1.0,11.0,8.0,0.0
252,35.0,1.0,11.0,8.0,0.0
253,35.0,1.0,11.0,8.0,0.0
254,35.0,1.0,11.0,8.0,0.0
255,35.0,1.0,11.0,8.0,0.0
256,35.0,1.0,11.0,8.0,0.0
257,36.0,1.0,11.0,8.0,0.0
258,37.0,1.0,11.0,8.0,0.0
259,37.0,1.0,11.0,8.0,0.0
260,41.0,1.0,11.0,8.0,0.0
261,41.0,1.0,11.0,8.0,0.0
262,41.0,1.0,11.0,8.0,0.0
263,45.0,1.0,11.0,8.0,0.0
264,45.0,1.0,11.0,8.0,0.0
265,45.0,1.0,11.0,8.0,0.0
266,45.0,1.0,11.0,8.0,0.0
267,45.0,1.0,11.0,8.0,0.0
268,45.0,1.0,11.0,8.0,0.0
269,49.0,1.0,11.0,8.0,0.0
270,50.0,1.0,11.0,8.0,0.0
271,50.0,1.0,11.0,8.0,0.0
272,50.0,1.0,11.0,8.0,0.0
273,51.0,1.0,11.0,8.0,0.0
274,51.0,1.0,11.0,8.0,0.0
275,51.0,1.0,11.0,8.0,0.0
276,55.0,1.0,11.0,8.0,0.0
277,55.0,1.0,11.0,8.0,0.0
278,55.0,1.0,11.0,8.0,0.0
279,56.0,1.0,11.0,8.0,0.0
280,56.0,1.0,11.0,8.0,0.0
281,56.0,1.0,11.0,12.0,0.0
282,57.0,1.0,11.0,12.0,0.0
283,58.0,1.0,11.0,12.0,0.0
284,59.0,1.0,11.0,12.0,0.0
285,59.0,1.0,19.0,12.0,0.0
286,59.0,1.0,19.0,12.0,0.0
287,59.0,1.0,19.0,12.0,0.0
288,59.0,1.0,19.0,12.0,0.0
289,60.0,1.0,19.0,12.0,0.0
290,60.0,1.0,19.0,12.0,0.0
291,60.0,1.0,19.0,12.0,0.0
292,60.0,1.0,19.0,12.0,0.0
293,60.0,1.0,19.0,12.0,0.0
294,60.0,1.0,19.0,12.0,0.0
295,60.0,1.0,19.0,12.0,0.0
296,60.0,1.0,19.0,12.0,0.0
297,60.0,1.0,19.0,12.0,0.0
298,61.0,1.0,19.0,12.0,0.0
299,61.0,1.0,19.0,12.0,0.0
300,61.0,1.0,19.0,12.0,0.0
301,1.0,0.0,0.0,0.0,0.0
302,1.0,0.0,0.0,0.0,0.0
303,1.0,0.0,0.0,0.0,0.0
304,1.0,0.0,0.0,0.0,0.0
305,1.0,0.0,0.0,0.0,0.0
306,9.0,0.0,0.0,0.0,0.0
307,9.0,0.0,0.0,0.0,0.0
308,10.0,0.0,0.0,0.0,0.0
309,11.0,0.0,0.0,0.0,0.0
310,11.0,0.0,0.0,0.0,0.0
311,11.0,0.0,0.0,0.0,0.0
312,11.0,0.0,0.0,0.0,0.0
313,11.0,0.0,0.0,0.0,0.0
314,11.0,0.0,0.0,0.0,0.0
315,12.0,0.0,0.0,0.0,0.0
316,12.0,0.0,0.0,0.0,0.0
317,12.0,0.0,0.0,0.0,0.0
318,12.0,0.0,0.0,0.0,0.0
319,12.0,0.0,0.0,0.0,0.0
320,12.0,0.0,0.0,0.0,0.0
321,12.0,0.0,0.0,0.0,0.0
322,12.0,0.0,0.0,0.0,0.0
323,16.0,0.0,0.0,0.0,0.0
324,16.0,0.0,0.0,0.0,0.0
325,16.0,0.0,0.0,0.0,0.0
326,16.0,0.0,0.0,0.0,0.0
327,16.0,0.0,0.0,0.0,0.0
328,16.0,0.0,0.0,0.0,0.0
329,16.0,0.0,0.0,0.0,0.0
330,17.0,0.0,0.0,0.0,0.0
331,18.0,0.0,0.0,0.0,0.0
332,18.0,0.0,0.0,0.0,0.0
333,18.0,0.0,0.0,0.0,0.0
334,19.0,0.0,0.0,0.0,0.0
335,19.0,0.0,0.0,0.0,0.0
336,19.0,0.0,0.0,0.0,0.0
337,20.0,0.0,0.0,0.0,0.0
338,20.0,0.0,0.0,0.0,0.0
339,20.0,0.0,0.0,0.0,0.0
340,20.0,0.0,0.0,0.0,0.0
341,20.0,0.0,0.0,0.0,0.0
342,20.0,0.0,0.0,0.0,0.0
343,20.0,0.0,0.0,0.0,0.0
344,20.0,0.0,0.0,0.0,0.0
345,20.0,0.0,0.0,0.0,0.0
346,20.0,0.0,0.0,0.0,0.0
347,20.0,0.0,0.0,0.0,0.0
348,21.0,0.0,0.0,0.0,0.0
349,22.0,0.0,0.0,0.0,0.0
350,23.0,0.0,0.0,0.0,0.0
351,23.0,0.0,0.0,0.0,0.0
352,23.0,0.0,0.0,0.0,0.0
353,23.0,0.0,0.0,0.0,0.0
354,23.0,0.0,0.0,0.0,0.0
355,23.0,0.0,0.0,0.0,0.0
356,23.0,0.0,0.0,0.0,0.0
357,23.0,0.0,0.0,0.0,0.0
358,23.0,0.0,0.0,0.0,0.0
359,23.0,0.0,0.0,0.0,0.0
360,24.0,0.0,0.0,0.0,0.0
361,28.0,0.0,0.0,0.0,0.0
362,28.0,0.0,0.0,0.0,0.0
363,28.0,0.0,0.0,0.0,0.0
364,28.0,0.0,0.0,0.0,0.0
365,28.0,0.0,0.0,0.0,0.0
366,28.0,0.0,0.0,0.0,0.0
367,28.0,0.0,0.0,0.0,0.0
368,28.0,0.0,0.0,0.0,0.0
369,28.0,0.0,0.0,0.0,0.0
370,28.0,0.0,0.0,0.0,0.0
371,28.0,0.0,0.0,0.0,0.0
372,32.0,0.0,0.0,0.0,0.0
373,32.0,0.0,0.0,0.0,0.0
374,32.0,0.0,0.0,0.0,0.0
375,32.0,0.0,0.0,0.0,0.0
376,36.0,0.0,0.0,0.0,0.0
377,36.0,0.0,4.0,0.0,0.0
378,36.0,0.0,4.0,0.0,0.0
379,36.0,0.0,4.0,0.0,0.0
380,36.0,1.0,4.0,0.0,0.0
381,36.0,5.0,4.0,0.0,0.0
382,37.0,5.0,4.0,0.0,0.0
383,38.0,5.0,4.0,0.0,0.0
384,38.0,5.0,4.0,0.0,0.0
385,39.0,5.0,4.0,0.0,0.0
386,39.0,5.0,4.0,0.0,0.0
387,43.0,5.0,4.0,0.0,0.0
388,43.0,5.0,4.0,0.0,0.0
389,43.0,6.0,4.0,0.0,0.0
390,43.0,6.0,4.0,0.0,0.0
391,43.0,6.0,4.0,0.0,0.0
392,43.0,6.0,4.0,0.0,0.0
393,43.0,6.0,4.0,0.0,0.0
394,43.0,6.0,4.0,0.0,0.0
395,43.0,6.0,4.0,0.0,0.0
396,43.0,6.0,4.0,0.0,0.0
397,43.0,6.0,4.0,0.0,0.0
